153,"Val-d'Or Airport","Canada",48.0533,-77.7828
154,"Kuujjuaq Airport","Canada",58.0961,-68.4269
155,"Norman Wells Airport","Canada",65.2816,-126.798
156,"Vancouver International Airport","Canada",49.1939,-123.184
160,"Winnipeg / James Armstrong Richardson International Airport","Canada",49.91,-97.2399
161,"Wabush Airport","Canada",52.9219,-66.8644
162,"Williams Lake Airport","Canada",52.1831,-122.054
164,"Cranbrook/Canadian Rockies International Airport","Canada",49.6108,-115.782
166,"Saskatoon John G. Diefenbaker International Airport","Canada",52.1708,-106.7
167,"Medicine Hat Airport","Canada",50.0189,-110.721
168,"Fort St John Airport","Canada",56.2381,-120.74
169,"Sioux Lookout Airport","Canada",50.1139,-91.9053
170,"Pangnirtung Airport","Canada",66.145,-65.7136
172,"Prince George Airport","Canada",53.8894,-122.679
173,"Northwest Regional Airport Terrace-Kitimat","Canada",54.4685,-128.576
174,"London Airport","Canada",43.0356,-81.1539
175,"Abbotsford Airport","Canada",49.0253,-122.361
176,"Whitehorse / Erik Nielsen International Airport","Canada",60.7096,-135.067
177,"North Bay Jack Garland Airport","Canada",46.3636,-79.4228
178,"Calgary International Airport","Canada",51.1139,-114.02
179,"Smithers Airport","Canada",54.8247,-127.183
180,"Fort Nelson Airport","Canada",58.8364,-122.597
181,"Penticton Airport","Canada",49.4631,-119.602
182,"Charlottetown Airport","Canada",46.29,-63.1211
183,"Taloyoak Airport","Canada",69.5467,-93.5767
184,"Victoria International Airport","Canada",48.6469,-123.426
187,"Churchill Airport","Canada",58.7392,-94.065
188,"Goose Bay Airport","Canada",53.3192,-60.4258
189,"St. John's International Airport","Canada",47.6186,-52.7519
190,"Kapuskasing Airport","Canada",49.4139,-82.4675
192,"Mont Joli Airport","Canada",48.6086,-68.2081
193,"Lester B. Pearson International Airport","Canada",43.6772,-79.6306
196,"Yellowknife Airport","Canada",62.4628,-114.44
198,"Sandspit Airport","Canada",53.2543,-131.814
199,"Chris Hadfield Airport","Canada",42.9994,-82.3089
200,"Port Hardy Airport","Canada",50.6806,-127.367
202,"Sept-Îles Airport","Canada",50.2233,-66.2656
206,"Fort Mcpherson Airport","Canada",67.4075,-134.861
209,"Soummam Airport","Algeria",36.712,5.06992
210,"Houari Boumediene Airport","Algeria",36.691,3.21541
211,"Djanet Inedbirene Airport","Algeria",24.2928,9.45244
216,"Aguenar – Hadj Bey Akhamok Airport","Algeria",22.8115,5.45108
220,"Rabah Bitat Airport","Algeria",36.8222,7.80917
221,"Mohamed Boudiaf International Airport","Algeria",36.276,6.62039
222,"Cheikh Larbi Tébessi Airport","Algeria",35.4316,8.12072
224,"Hassi R'Mel Airport","Algeria",32.9304,3.31154
225,"Bou Chekif Airport","Algeria",35.3411,1.46315
230,"Zenata – Messali El Hadj Airport","Algeria",35.0167,-1.45
231,"Es Senia Airport","Algeria",35.6239,-0.621183
233,"Ghriss Airport","Algeria",35.2077,0.147142
234,"Touat Cheikh Sidi Mohamed Belkebir Airport","Algeria",27.8376,-0.186414
235,"Biskra Airport","Algeria",34.7933,5.73823
236,"El Golea Airport","Algeria",30.5713,2.85959
237,"Noumérat - Moufdi Zakaria Airport","Algeria",32.3841,3.79411
238,"Oued Irara Airport","Algeria",31.673,6.14044
239,"In Salah Airport","Algeria",27.251,2.51202
240,"Touggourt Sidi Madhi Airport","Algeria",33.0678,6.08867
243,"Ain el Beida Airport","Algeria",31.9172,5.41278
244,"In Aménas Airport","Algeria",28.0515,9.64291
245,"Cadjehoun Airport","Benin",6.35723,2.38435
246,"Ouagadougou Airport","Burkina Faso",12.3532,-1.51242
247,"Bobo Dioulasso Airport","Burkina Faso",11.1601,-4.33097
248,"Kotoka International Airport","Ghana",5.60519,-0.166786
249,"Tamale Airport","Ghana",9.55719,-0.863214
251,"Sunyani Airport","Ghana",7.36183,-2.32876
252,"Takoradi Airport","Ghana",4.89606,-1.77476
253,"Port Bouet Airport","Cote d'Ivoire",5.26139,-3.92629
260,"Nnamdi Azikiwe International Airport","Nigeria",9.00679,7.26317
262,"Benin Airport","Nigeria",6.31698,5.5995
263,"Margaret Ekpo International Airport","Nigeria",4.97602,8.3472
264,"Akanu Ibiam International Airport","Nigeria",6.47427,7.56196
266,"Ibadan Airport","Nigeria",7.36246,3.97833
267,"Ilorin International Airport","Nigeria",8.44021,4.49392
268,"Yakubu Gowon Airport","Nigeria",9.63983,8.86905
269,"Kaduna Airport","Nigeria",10.696,7.32011
270,"Mallam Aminu International Airport","Nigeria",12.0476,8.52462
273,"Murtala Muhammed International Airport","Nigeria",6.57737,3.32116
275,"Port Harcourt International Airport","Nigeria",5.01549,6.94959
276,"Sadiq Abubakar III International Airport","Nigeria",12.9163,5.20719
277,"Yola Airport","Nigeria",9.25755,12.4304
280,"Diori Hamani International Airport","Niger",13.4815,2.18361
286,"Monastir Habib Bourguiba International Airport","Tunisia",35.7581,10.7547
287,"Tunis Carthage International Airport","Tunisia",36.851,10.2272
290,"Gafsa Ksar International Airport","Tunisia",34.422,8.8225
291,"Gabès Matmata International Airport","Tunisia",33.8769,10.1033
293,"Djerba Zarzis International Airport","Tunisia",33.875,10.7755
295,"Sfax Thyna International Airport","Tunisia",34.718,10.691
296,"Tozeur Nefta International Airport","Tunisia",33.9397,8.11056
298,"Lomé-Tokoin Airport","Togo",6.16561,1.25451
299,"Antwerp International Airport (Deurne)","Belgium",51.1894,4.46028
302,"Brussels Airport","Belgium",50.9014,4.48444
304,"Brussels South Charleroi Airport","Belgium",50.4592,4.45382
309,"Liège Airport","Belgium",50.6374,5.44322
310,"Ostend-Bruges International Airport","Belgium",51.1989,2.86222
337,"Berlin-Schönefeld Airport","Germany",52.38,13.5225
338,"Dresden Airport","Germany",51.1328,13.7672
339,"Erfurt Airport","Germany",50.9798,10.9581
340,"Frankfurt am Main Airport","Germany",50.0333,8.57056
341,"Münster Osnabrück Airport","Germany",52.1346,7.68483
342,"Hamburg Airport","Germany",53.6304,9.98823
344,"Cologne Bonn Airport","Germany",50.8659,7.14274
345,"Düsseldorf Airport","Germany",51.2895,6.76678
346,"Munich Airport","Germany",48.3538,11.7861
347,"Nuremberg Airport","Germany",49.4987,11.0781
348,"Leipzig/Halle Airport","Germany",51.4239,12.2364
349,"Saarbrücken Airport","Germany",49.2146,7.10951
350,"Stuttgart Airport","Germany",48.6899,9.22196
351,"Berlin-Tegel Airport","Germany",52.5597,13.2877
352,"Hannover Airport","Germany",52.4611,9.68508
353,"Bremen Airport","Germany",53.0475,8.78667
355,"Frankfurt-Hahn Airport","Germany",49.9487,7.26389
356,"Mannheim-City Airport","Germany",49.4731,8.51417
362,"Hamburg-Finkenwerder Airport","Germany",53.5353,9.83556
364,"Lübeck Blankensee Airport","Germany",53.8054,10.7192
371,"Paderborn Lippstadt Airport","Germany",51.6141,8.61632
373,"Dortmund Airport","Germany",51.5183,7.61224
374,"Augsburg Airport","Germany",48.4253,10.9317
382,"Friedrichshafen Airport","Germany",47.6713,9.51149
393,"Zweibrücken Airport","Germany",49.2094,7.40056
400,"Kassel-Calden Airport","Germany",51.4173,9.38497
410,"Westerland Sylt Airport","Germany",54.9132,8.34047
413,"Kuressaare Airport","Estonia",58.2299,22.5095
415,"Lennart Meri Tallinn Airport","Estonia",59.4133,24.8328
416,"Tartu Airport","Estonia",58.3075,26.6904
421,"Helsinki Vantaa Airport","Finland",60.3172,24.9633
428,"Ivalo Airport","Finland",68.6073,27.4053
429,"Joensuu Airport","Finland",62.6629,29.6075
430,"Jyvaskyla Airport","Finland",62.3995,25.6783
432,"Kemi-Tornio Airport","Finland",65.7787,24.5821
433,"Kajaani Airport","Finland",64.2855,27.6924
435,"Kokkola-Pietarsaari Airport","Finland",63.7212,23.1431
437,"Kuusamo Airport","Finland",65.9876,29.2394
438,"Kittilä Airport","Finland",67.701,24.8468
439,"Kuopio Airport","Finland",63.0071,27.7978
441,"Lappeenranta Airport","Finland",61.0446,28.1447
442,"Mariehamn Airport","Finland",60.1222,19.8982
446,"Oulu Airport","Finland",64.9301,25.3546
448,"Pori Airport","Finland",61.4617,21.8
453,"Rovaniemi Airport","Finland",66.5648,25.8304
455,"Savonlinna Airport","Finland",61.9431,28.9451
458,"Tampere-Pirkkala Airport","Finland",61.4141,23.6044
460,"Turku Airport","Finland",60.5141,22.2628
462,"Vaasa Airport","Finland",63.0507,21.7622
465,"Belfast International Airport","United Kingdom",54.6575,-6.21583
467,"George Best Belfast City Airport","United Kingdom",54.6181,-5.8725
468,"City of Derry Airport","United Kingdom",55.0428,-7.16111
469,"Birmingham International Airport","United Kingdom",52.4539,-1.74803
472,"Gloucestershire Airport","United Kingdom",51.8942,-2.16722
478,"Manchester Airport","United Kingdom",53.3537,-2.27495
481,"Newquay Cornwall Airport","United Kingdom",50.4406,-4.99541
488,"Cardiff International Airport","United Kingdom",51.3967,-3.34333
490,"Bristol Airport","United Kingdom",51.3827,-2.71909
491,"Liverpool John Lennon Airport","United Kingdom",53.3336,-2.84972
492,"London Luton Airport","United Kingdom",51.8747,-0.368333
494,"Bournemouth Airport","United Kingdom",50.78,-1.8425
495,"Southampton Airport","United Kingdom",50.9503,-1.3568
497,"Alderney Airport","Guernsey",49.7061,-2.21472
498,"Guernsey Airport","Guernsey",49.435,-2.60197
499,"Jersey Airport","Jersey",49.2079,-2.19551
502,"London Gatwick Airport","United Kingdom",51.1481,-0.190278
503,"London City Airport","United Kingdom",51.5053,0.055278
507,"London Heathrow Airport","United Kingdom",51.4706,-0.461941
508,"Southend Airport","United Kingdom",51.5714,0.695556
514,"Blackpool International Airport","United Kingdom",53.7717,-3.02861
515,"Humberside Airport","United Kingdom",53.5744,-0.350833
517,"Leeds Bradford Airport","United Kingdom",53.8659,-1.66057
519,"Hawarden Airport","United Kingdom",53.1781,-2.97778
520,"Isle of Man Airport","Isle of Man",54.0833,-4.62389
521,"Newcastle Airport","United Kingdom",55.0375,-1.69167
522,"Durham Tees Valley Airport","United Kingdom",54.5092,-1.42941
523,"East Midlands Airport","United Kingdom",52.8311,-1.32806
529,"Kirkwall Airport","United Kingdom",58.9578,-2.905
530,"Sumburgh Airport","United Kingdom",59.8789,-1.29556
531,"Wick Airport","United Kingdom",58.4589,-3.09306
532,"Aberdeen Dyce Airport","United Kingdom",57.2019,-2.19778
533,"Inverness Airport","United Kingdom",57.5425,-4.0475
534,"Glasgow International Airport","United Kingdom",55.8719,-4.43306
535,"Edinburgh Airport","United Kingdom",55.95,-3.3725
536,"Islay Airport","United Kingdom",55.6819,-6.25667
537,"Glasgow Prestwick Airport","United Kingdom",55.5094,-4.58667
538,"Benbecula Airport","United Kingdom",57.4811,-7.36278
540,"Dundee Airport","United Kingdom",56.4525,-3.02583
541,"Stornoway Airport","United Kingdom",58.2156,-6.33111
542,"Tiree Airport","United Kingdom",56.4992,-6.86917
547,"Norwich International Airport","United Kingdom",52.6758,1.28278
548,"London Stansted Airport","United Kingdom",51.885,0.235
552,"Exeter International Airport","United Kingdom",50.7344,-3.41389
579,"Mount Pleasant Airport","Falkland Islands",-51.8228,-58.4472
580,"Amsterdam Airport Schiphol","Netherlands",52.3086,4.76389
582,"Maastricht Aachen Airport","Netherlands",50.9117,5.77014
585,"Eindhoven Airport","Netherlands",51.4501,5.37453
586,"Eelde Airport","Netherlands",53.1197,6.57944
591,"Rotterdam The Hague Airport","Netherlands",51.9569,4.43722
596,"Cork Airport","Ireland",51.8413,-8.49111
599,"Dublin Airport","Ireland",53.4213,-6.27007
600,"Ireland West Knock Airport","Ireland",53.9103,-8.81849
601,"Kerry Airport","Ireland",52.1809,-9.52378
603,"Shannon Airport","Ireland",52.702,-8.92482
605,"Waterford Airport","Ireland",52.1872,-7.08696
607,"Aarhus Airport","Denmark",56.3,10.619
608,"Billund Airport","Denmark",55.7403,9.15178
609,"Copenhagen Kastrup Airport","Denmark",55.6179,12.656
610,"Esbjerg Airport","Denmark",55.5259,8.5534
612,"Karup Airport","Denmark",56.2975,9.12463
618,"Bornholm Airport","Denmark",55.0633,14.7596
619,"Sønderborg Airport","Denmark",54.9644,9.79173
625,"Vagar Airport","Faroe Islands",62.0636,-7.27722
628,"Aalborg Airport","Denmark",57.0928,9.84924
629,"Luxembourg-Findel International Airport","Luxembourg",49.6233,6.20444
630,"Ålesund Airport","Norway",62.5625,6.1197
